frame_idx,vo_idx,est_lat,est_lon,good_matches,inliers,mean_score,dist_nominal_m
0,0,43.52294,-5.6250668,5,4,1.0,126.60168282513905
15,15,43.518143,-5.623866,6,4,1.0,425.60518080211773
30,30,43.522953,-5.622396,15,5,1.0,189.08061983300664
45,45,43.522804,-5.6219997,9,4,1.0,207.7101767421388
60,60,43.52286,-5.6230235,6,4,1.0,143.75471571913454
75,75,43.5228,-5.622885,8,4,1.0,147.46176928612624
90,90,43.52261,-5.6231112,9,4,1.0,119.94937951905102
105,105,43.522762,-5.6230483,11,5,1.0,134.72323540733507
135,135,43.521828,-5.623983,10,4,1.0,28.47456223635844
180,180,43.523045,-5.6228876,6,4,1.0,166.02479829455376
195,195,43.5231,-5.624678,5,4,1.0,131.60412368450295
225,225,43.521587,-5.6232123,9,4,1.0,96.06617320573193
255,255,43.519913,-5.6274877,6,4,1.0,343.85675892855096
285,285,43.528156,-5.616847,7,4,1.0,915.2688341970196
300,300,43.521965,-5.6231227,7,4,1.0,94.23204637422195
315,315,43.521675,-5.6251616,4,4,1.0,76.88599857332686
330,330,43.52304,-5.6225033,9,4,1.0,188.27429587778718
345,345,43.521442,-5.625522,8,4,1.0,114.58578562676054
360,360,43.521343,-5.62469,10,5,1.0,75.22815803664706
375,375,43.52172,-5.6245837,13,4,1.0,35.11639478681668
390,390,43.52182,-5.6242156,20,5,1.0,16.029870584377054
405,405,43.521606,-5.6245575,17,6,1.0,44.26691531889973
420,420,43.521626,-5.6246395,13,5,1.0,46.14864890766633
435,435,43.521248,-5.6248474,6,4,1.0,90.53343525320989
450,450,43.52253,-5.6251764,14,5,1.0,96.08069452959829
465,465,43.521538,-5.6244416,17,5,1.0,47.87803850463796
480,480,43.52219,-5.6256776,22,5,1.0,115.05860849234159
495,495,43.52097,-5.6226635,15,6,1.0,170.99800168269326
510,510,43.521854,-5.6246514,19,6,1.0,31.194649948549802
525,525,43.521366,-5.6230392,22,8,1.0,120.28901539420836
540,540,43.525776,-5.6234055,16,5,1.0,431.4501648035792
555,555,43.521587,-5.625179,17,5,1.0,82.5184998793455
570,570,43.521324,-5.624105,16,5,1.0,71.6414376494767
585,585,43.52196,-5.6229854,20,5,1.0,105.31196507072153
600,600,43.52216,-5.6232686,22,5,1.0,85.57512226505307
615,615,43.522263,-5.624303,18,5,1.0,34.4125155692382
630,630,43.52304,-5.6238236,17,5,1.0,126.74488285404297
645,645,43.517418,-5.6307707,13,5,1.0,727.0398859486268
660,660,43.522594,-5.623454,11,4,1.0,98.19475781949679
675,675,43.523285,-5.6242743,14,5,1.0,148.20902561153784
690,690,43.522602,-5.623414,5,4,1.0,101.04883509059951
705,705,43.521465,-5.6238046,11,7,1.0,67.00602455843841
720,720,43.52327,-5.6238394,10,6,1.0,150.95265427509136
735,735,43.522774,-5.6230993,16,5,1.0,132.56225684603623
750,750,43.522972,-5.6235423,7,4,1.0,128.44414670144536
765,765,43.523113,-5.623739,8,4,1.0,136.54696500282756
780,780,43.522617,-5.622192,5,4,1.0,184.77297400423512
795,795,43.523075,-5.623078,8,4,1.0,158.61875209539372
810,810,43.522293,-5.623973,10,4,1.0,45.64576092037123
825,825,43.522076,-5.6228943,9,4,1.0,113.47669153807571
840,840,43.522446,-5.62361,16,5,1.0,77.54618098540305
855,855,43.518417,-5.62329,13,4,1.0,401.84194619701776
870,870,43.522194,-5.623313,19,6,1.0,83.28002951754961
885,885,43.523106,-5.624721,24,7,1.0,132.88133793522738
900,900,43.52209,-5.6236463,13,5,1.0,54.16363590132428
915,915,43.521538,-5.6245813,7,4,1.0,51.918785441246435
930,930,43.524357,-5.630498,20,7,1.0,568.0447285321256
945,945,43.52242,-5.6234956,22,6,1.0,82.43753103912563
960,960,43.52113,-5.623708,28,6,1.0,103.06355457128132
975,975,43.521328,-5.624805,12,5,1.0,81.10570138557618
990,990,43.521873,-5.623827,10,4,1.0,38.422948039043945
1005,1005,43.52177,-5.6238923,11,4,1.0,38.02537655645074
1020,1020,43.521694,-5.624782,7,4,1.0,49.108573372102796
1035,1035,43.522606,-5.620171,5,4,1.0,340.31381712944386
1050,1050,43.52162,-5.62448,11,5,1.0,39.99481485837158
1065,1065,43.521553,-5.624219,12,5,1.0,44.95577797822046
1080,1080,43.52154,-5.624611,7,4,1.0,52.672252912516626
1095,1095,43.52202,-5.622886,7,4,1.0,113.54417856176462
1110,1110,43.52158,-5.6244183,8,4,1.0,42.88455179991713
1125,1125,43.522556,-5.6242476,7,4,1.0,67.18242378340594
1155,1155,43.52068,-5.621027,11,4,1.0,299.14785478758404
1170,1170,43.521698,-5.624481,7,4,1.0,32.36853021791485
1185,1185,43.521477,-5.6243367,21,6,1.0,53.21536500646044
1200,1200,43.522793,-5.6234064,12,4,1.0,117.53619723440015
1215,1215,43.521793,-5.624399,20,5,1.0,19.894502184915687
1230,1230,43.52295,-5.623266,36,7,1.0,138.25067719141038
1245,1245,43.521976,-5.6244197,30,6,1.0,10.774853491159773
1260,1260,43.522175,-5.624025,24,6,1.0,32.628301583553146
1275,1275,43.52163,-5.624558,27,6,1.0,42.0808228618404
1290,1290,43.52163,-5.6245604,21,6,1.0,42.18007327006836
1305,1305,43.522926,-5.623659,38,6,1.0,119.6619903090579
1320,1320,43.522633,-5.6219964,20,6,1.0,199.97291609046434
1335,1335,43.522472,-5.6238227,17,6,1.0,68.9795879559028
1350,1350,43.522415,-5.622107,20,7,1.0,183.5459927256806
1365,1365,43.522324,-5.6236033,23,5,1.0,69.05585283456388
1380,1380,43.522793,-5.623238,28,6,1.0,126.24364386234306
1395,1395,43.523067,-5.623405,24,6,1.0,143.10452237176844
1410,1410,43.523113,-5.622736,29,7,1.0,180.00058954193534
1425,1425,43.521664,-5.6234956,27,6,1.0,71.78792584193431
1440,1440,43.523037,-5.623449,25,5,1.0,138.39998279053597
1455,1455,43.52316,-5.623124,23,6,1.0,163.9002194679214
1470,1470,43.52237,-5.622573,27,6,1.0,146.12702264123766
1485,1485,43.522923,-5.6233096,24,5,1.0,133.77794460132117
