frame_idx,vo_idx,est_lat,est_lon,good_matches,inliers,mean_score,dist_nominal_m
285,285,43.521008,-5.6244035,22,14,1.0,105.71138332755775
315,315,43.52136,-5.6249504,20,14,1.0,85.03119073732232
375,375,43.52144,-5.6249924,21,11,1.0,80.62820946490831
390,390,43.52163,-5.624931,15,8,1.0,63.07872616573552
405,405,43.52158,-5.6249084,16,8,1.0,64.99260240150342
480,480,43.52072,-5.62295,40,13,1.0,174.67536018644142
495,495,43.520786,-5.6228085,14,9,1.0,176.59753679938785
525,525,43.521908,-5.624818,26,14,1.0,42.91203096658824
540,540,43.521553,-5.6248937,27,12,1.0,66.04981733760093
555,555,43.522312,-5.6224523,17,9,1.0,153.61718721856184
630,630,43.53737,-5.619043,19,14,1.0,1767.5154631087319
840,840,43.52114,-5.6238213,11,8,1.0,98.04539851191386
960,960,43.52107,-5.6235948,17,9,1.0,113.38130781636605
975,975,43.522278,-5.624879,12,8,1.0,59.68639676353365
1005,1005,43.521736,-5.624382,17,8,1.0,25.3194350080277
1185,1185,43.522793,-5.623359,14,8,1.0,119.88670480598695
1305,1305,43.52299,-5.6237483,20,9,1.0,123.50437731402268
1320,1320,43.521973,-5.6246943,19,8,1.0,32.70847636959126
1425,1425,43.5226,-5.623187,20,13,1.0,114.35141705423115
1440,1440,43.523434,-5.6227565,17,11,1.0,206.08231332507754
1545,1545,43.521717,-5.622548,40,26,1.0,143.04763175315946
1575,1575,43.521618,-5.624529,24,17,1.0,42.05143532026888
1770,1770,43.53965,-5.6229796,29,14,1.0,1972.798509425907
1785,1785,43.519398,-5.6263003,14,9,1.0,327.5402539736494
1845,1845,43.521217,-5.6250067,19,13,1.0,100.31829576371945
1905,1905,43.52177,-5.6227164,25,11,1.0,128.64201387465957
1920,1920,43.521168,-5.6237493,22,10,1.0,97.76284140645882
1995,1995,43.52225,-5.6222405,16,9,1.0,168.71326620285987
2235,2235,43.522263,-5.6235433,9,8,1.0,69.39921519448357
2250,2250,43.522064,-5.6234035,24,14,1.0,72.60486286785324
2280,2280,43.522484,-5.624148,29,12,1.0,60.13073715332475
2295,2295,43.5214,-5.6243844,15,9,1.0,62.044384026953274
2325,2325,43.52143,-5.6244235,20,11,1.0,59.16713990401967
2340,2340,43.521534,-5.6244917,25,17,1.0,49.46781817283501
2355,2355,43.521564,-5.6245084,28,18,1.0,46.76438515617344
2370,2370,43.52164,-5.6245284,30,26,1.0,39.78572918910196
2385,2385,43.521667,-5.6245418,34,25,1.0,37.780485210091676
2400,2400,43.521564,-5.62445,12,10,1.0,45.203982076649105
2550,2550,43.52158,-5.6249986,20,9,1.0,70.73383891150172
2595,2595,43.52155,-5.6248484,19,8,1.0,63.699635512595485
2700,2700,43.521587,-5.624567,18,13,1.0,46.49736301512845
2715,2715,43.52158,-5.6245165,24,17,1.0,45.454833649609014
2730,2730,43.52162,-5.6246033,15,9,1.0,44.770431026929124
2745,2745,43.52172,-5.624659,16,9,1.0,39.47813537103507
2760,2760,43.521526,-5.624639,14,8,1.0,55.27986245954166
2850,2850,43.520973,-5.6246805,14,11,1.0,113.59706936537063
3045,3045,43.522854,-5.6236496,11,10,1.0,112.76387347174199
3060,3060,43.521225,-5.624978,14,11,1.0,98.30260152251765
3120,3120,43.52124,-5.624841,16,12,1.0,91.02576713262705
3135,3135,43.52126,-5.6248636,13,11,1.0,90.09571791136403
3150,3150,43.521053,-5.624695,12,9,1.0,105.4109902234225
3255,3255,43.52297,-5.624971,10,8,1.0,125.62003152526188
3360,3360,43.52111,-5.624481,12,10,1.0,95.10884054698609
