frame_idx,vo_idx,est_lat,est_lon,good_matches,inliers,tile_center,tile_zoom
0,0,43.522144,-5.624158,14,4,"(43.521955, -5.62429)",21
15,15,43.521976,-5.624017,13,4,"(np.float32(43.5221), np.float32(-5.6241))",21
30,30,43.52145,-5.6242723,6,4,"(np.float32(43.5218), np.float32(-5.6239))",21
45,45,43.521187,-5.6243544,14,4,"(np.float32(43.5212), np.float32(-5.6243))",21
60,60,43.521366,-5.6245017,11,4,"(np.float32(43.5214), np.float32(-5.6244))",21
75,75,43.5218,-5.6247597,9,4,"(np.float32(43.5217), np.float32(-5.6246))",21
90,90,43.522305,-5.6243143,4,4,"(np.float32(43.5222), np.float32(-5.6241))",21
105,105,43.521957,-5.6237,10,5,"(np.float32(43.5219), np.float32(-5.6235))",21
120,120,43.521484,-5.623616,10,4,"(np.float32(43.5215), np.float32(-5.6236))",21
135,135,43.52139,-5.6234794,11,5,"(np.float32(43.5213), np.float32(-5.6235))",21
150,150,43.521374,-5.6233635,7,4,"(np.float32(43.5213), np.float32(-5.6233))",21
180,180,43.521225,-5.6233664,9,4,"(np.float32(43.5213), np.float32(-5.6235))",21
195,195,43.5217,-5.623343,14,4,"(np.float32(43.5217), np.float32(-5.6232))",21
210,210,43.522137,-5.623708,8,4,"(np.float32(43.5219), np.float32(-5.623))",21
225,225,43.516552,-5.6241436,12,4,"(np.float32(43.5165), np.float32(-5.624))",21
240,240,43.506996,-5.625211,10,4,"(np.float32(43.5068), np.float32(-5.6251))",21
255,255,43.497726,-5.625903,15,4,"(np.float32(43.4975), np.float32(-5.626))",21
270,270,43.48879,-5.6262307,13,5,"(np.float32(43.4888), np.float32(-5.6264))",21
285,285,43.480927,-5.6265407,13,4,"(np.float32(43.4809), np.float32(-5.6264))",21
300,300,43.476044,-5.626812,12,4,"(np.float32(43.476), np.float32(-5.6267))",21
330,330,43.472897,-5.62717,8,4,"(np.float32(43.473), np.float32(-5.627))",21
360,360,43.4703,-5.6273894,15,5,"(np.float32(43.4702), np.float32(-5.6272))",21
375,375,43.465614,-5.6274867,14,5,"(np.float32(43.4656), np.float32(-5.6275))",21
390,390,43.46132,-5.627573,23,5,"(np.float32(43.4614), np.float32(-5.6275))",21
405,405,43.45708,-5.6277404,16,6,"(np.float32(43.4571), np.float32(-5.6277))",21
420,420,43.45302,-5.627697,10,4,"(np.float32(43.4529), np.float32(-5.6278))",21
435,435,43.44904,-5.6277595,5,4,"(np.float32(43.4489), np.float32(-5.6277))",21
450,450,43.4449,-5.627683,10,4,"(np.float32(43.4449), np.float32(-5.6277))",21
465,465,43.440586,-5.6276283,8,4,"(np.float32(43.4406), np.float32(-5.6277))",21
480,480,43.43521,-5.6273236,11,4,"(np.float32(43.4361), np.float32(-5.6276))",21
495,495,43.429893,-5.6273727,18,5,"(np.float32(43.4298), np.float32(-5.6274))",21
510,510,43.424606,-5.6273184,15,5,"(np.float32(43.4247), np.float32(-5.6274))",21
525,525,43.418995,-5.627257,27,12,"(np.float32(43.4189), np.float32(-5.6274))",21
540,540,43.413605,-5.627461,20,6,"(np.float32(43.4135), np.float32(-5.6273))",21
585,585,43.404976,-5.627819,11,4,"(np.float32(43.4049), np.float32(-5.6279))",21
600,600,43.404053,-5.627863,25,8,"(np.float32(43.4039), np.float32(-5.6279))",21
615,615,43.401672,-5.628171,21,5,"(np.float32(43.4016), np.float32(-5.6282))",21
630,630,43.396576,-5.627937,20,6,"(np.float32(43.3966), np.float32(-5.628))",21
645,645,43.39191,-5.6277456,9,4,"(np.float32(43.392), np.float32(-5.6279))",21
660,660,43.387436,-5.6279993,17,4,"(np.float32(43.3873), np.float32(-5.6278))",21
675,675,43.38287,-5.6279507,14,4,"(np.float32(43.383), np.float32(-5.6281))",21
690,690,43.378384,-5.628262,16,4,"(np.float32(43.3784), np.float32(-5.6281))",21
705,705,43.37382,-5.6285563,9,5,"(np.float32(43.3739), np.float32(-5.6285))",21
720,720,43.36902,-5.62873,21,5,"(np.float32(43.3691), np.float32(-5.6289))",21
765,765,43.358635,-5.628987,10,4,"(np.float32(43.3585), np.float32(-5.629))",21
780,780,43.358215,-5.628684,17,6,"(np.float32(43.3583), np.float32(-5.6288))",21
795,795,43.356785,-5.6289535,12,5,"(np.float32(43.3567), np.float32(-5.6291))",21
810,810,43.351284,-5.628976,20,5,"(np.float32(43.3511), np.float32(-5.6289))",21
825,825,43.344887,-5.6287923,20,5,"(np.float32(43.345), np.float32(-5.6288))",21
840,840,43.338886,-5.6287336,11,5,"(np.float32(43.3389), np.float32(-5.6287))",21
855,855,43.333004,-5.6287727,12,5,"(np.float32(43.3329), np.float32(-5.6288))",21
870,870,43.32712,-5.628782,18,7,"(np.float32(43.3271), np.float32(-5.6288))",21
885,885,43.3212,-5.628932,9,4,"(np.float32(43.3212), np.float32(-5.629))",21
915,915,43.309605,-5.6290298,7,4,"(np.float32(43.3093), np.float32(-5.629))",21
930,930,43.305313,-5.6288466,7,4,"(np.float32(43.3046), np.float32(-5.629))",21
945,945,43.302452,-5.628745,7,4,"(np.float32(43.3024), np.float32(-5.6289))",21
960,960,43.301384,-5.628863,7,4,"(np.float32(43.3015), np.float32(-5.6287))",21
990,990,43.297974,-5.628911,12,5,"(np.float32(43.298), np.float32(-5.6289))",21
1005,1005,43.292603,-5.628769,12,5,"(np.float32(43.2925), np.float32(-5.6289))",21
1020,1020,43.287697,-5.6287985,12,5,"(np.float32(43.2876), np.float32(-5.6288))",21
1035,1035,43.282936,-5.6288285,11,4,"(np.float32(43.2829), np.float32(-5.6288))",21
1050,1050,43.278435,-5.62897,19,5,"(np.float32(43.2782), np.float32(-5.6289))",21
1065,1065,43.27413,-5.6290793,14,4,"(np.float32(43.274), np.float32(-5.629))",21
1080,1080,43.269745,-5.6291175,13,4,"(np.float32(43.2699), np.float32(-5.6291))",21
1095,1095,43.26573,-5.6293755,10,4,"(np.float32(43.2657), np.float32(-5.6292))",21
1110,1110,43.26315,-5.629389,7,4,"(np.float32(43.2631), np.float32(-5.6294))",21
1125,1125,43.26207,-5.629514,23,7,"(np.float32(43.2621), np.float32(-5.6294))",21
1140,1140,43.26177,-5.6297026,19,8,"(np.float32(43.2617), np.float32(-5.6296))",21
1155,1155,43.259823,-5.629487,8,4,"(np.float32(43.2599), np.float32(-5.6297))",21
1185,1185,43.25094,-5.629677,11,5,"(np.float32(43.251), np.float32(-5.6295))",21
1200,1200,43.24682,-5.6297226,24,8,"(np.float32(43.2467), np.float32(-5.6297))",21
1215,1215,43.24283,-5.629603,21,8,"(np.float32(43.2427), np.float32(-5.6298))",21
1230,1230,43.238937,-5.629779,18,6,"(np.float32(43.2388), np.float32(-5.6297))",21
1245,1245,43.235016,-5.6298485,12,4,"(np.float32(43.235), np.float32(-5.6299))",21
1260,1260,43.231747,-5.6297984,11,4,"(np.float32(43.2318), np.float32(-5.6299))",21
1275,1275,43.2294,-5.630047,15,5,"(np.float32(43.2295), np.float32(-5.6298))",21
1290,1290,43.22898,-5.6303563,16,5,"(np.float32(43.2289), np.float32(-5.6301))",21
1305,1305,43.228287,-5.6300526,17,6,"(np.float32(43.2282), np.float32(-5.6302))",21
1320,1320,43.225582,-5.6300626,16,6,"(np.float32(43.2256), np.float32(-5.63))",21
1335,1335,43.221203,-5.6301537,7,4,"(np.float32(43.2211), np.float32(-5.6301))",21
1350,1350,43.217255,-5.630284,9,4,"(np.float32(43.2173), np.float32(-5.6302))",21
1365,1365,43.213165,-5.6302977,6,4,"(np.float32(43.2132), np.float32(-5.6303))",21
1380,1380,43.20925,-5.6302896,12,4,"(np.float32(43.2092), np.float32(-5.6303))",21
1395,1395,43.205326,-5.630452,7,4,"(np.float32(43.2054), np.float32(-5.6304))",21
1410,1410,43.20135,-5.630632,20,6,"(np.float32(43.2014), np.float32(-5.6305))",21
1425,1425,43.197376,-5.6308923,9,4,"(np.float32(43.1974), np.float32(-5.6308))",21
1440,1440,43.194798,-5.6308594,17,6,"(np.float32(43.1947), np.float32(-5.631))",21
1455,1455,43.19311,-5.631122,9,4,"(np.float32(43.1932), np.float32(-5.6309))",21
1470,1470,43.192974,-5.6312227,7,4,"(np.float32(43.193), np.float32(-5.6312))",21
1485,1485,43.191544,-5.630556,9,4,"(np.float32(43.1918), np.float32(-5.6309))",21
1500,1500,43.18625,-5.632476,7,4,"(np.float32(43.1864), np.float32(-5.6305))",21
1515,1515,43.180786,-5.6324224,7,4,"(np.float32(43.1808), np.float32(-5.6325))",21
1530,1530,43.17518,-5.6325126,7,4,"(np.float32(43.1754), np.float32(-5.6325))",21
1545,1545,43.16972,-5.6324987,4,4,"(np.float32(43.1697), np.float32(-5.6325))",21
1560,1560,43.16437,-5.6323514,8,4,"(np.float32(43.1643), np.float32(-5.6324))",21
1575,1575,43.159054,-5.6322126,6,4,"(np.float32(43.1591), np.float32(-5.6323))",21
1590,1590,43.155243,-5.6321154,8,4,"(np.float32(43.1554), np.float32(-5.6321))",21
1605,1605,43.15292,-5.632243,6,4,"(np.float32(43.1529), np.float32(-5.6321))",21
1620,1620,43.15298,-5.6323133,11,4,"(np.float32(43.1529), np.float32(-5.6323))",21
1635,1635,43.15191,-5.6321435,8,4,"(np.float32(43.1519), np.float32(-5.6322))",21
1680,1680,43.13613,-5.6327844,9,4,"(np.float32(43.1359), np.float32(-5.6322))",21
1695,1695,43.13091,-5.6326394,14,4,"(np.float32(43.1309), np.float32(-5.6328))",21
1710,1710,43.125782,-5.6329403,5,4,"(np.float32(43.1257), np.float32(-5.6327))",21
1725,1725,43.12074,-5.6328382,10,4,"(np.float32(43.1208), np.float32(-5.633))",21
1740,1740,43.1172,-5.6328115,8,4,"(np.float32(43.1172), np.float32(-5.6329))",21
1755,1755,43.11537,-5.632656,6,4,"(np.float32(43.1154), np.float32(-5.6327))",21
1770,1770,43.115345,-5.632626,13,5,"(np.float32(43.1154), np.float32(-5.6327))",21
1785,1785,43.113613,-5.6325397,14,4,"(np.float32(43.1135), np.float32(-5.6325))",21
1800,1800,43.107815,-5.632656,4,4,"(np.float32(43.1078), np.float32(-5.6326))",21
1815,1815,43.102066,-5.6326356,9,5,"(np.float32(43.102), np.float32(-5.6327))",21
1830,1830,43.096348,-5.6326046,7,5,"(np.float32(43.0964), np.float32(-5.6327))",21
1845,1845,43.09066,-5.632659,7,4,"(np.float32(43.0907), np.float32(-5.6326))",21
1860,1860,43.085155,-5.6325994,8,4,"(np.float32(43.0852), np.float32(-5.6327))",21
1875,1875,43.08155,-5.6326985,15,5,"(np.float32(43.0814), np.float32(-5.6327))",21
1890,1890,43.079414,-5.632769,10,4,"(np.float32(43.0793), np.float32(-5.6327))",21
1905,1905,43.079388,-5.632716,7,4,"(np.float32(43.0793), np.float32(-5.6327))",21
