frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0
1,0.54714966,0.16775513,0.019425261331778083,0.54714966,0.16775513,0.019425261331778083,808,805,0.9962871287128713
2,1.0660706,0.22865295,0.04563436458741768,0.5189209,0.060897827,0.026209103255639594,790,785,0.9936708860759493
3,1.4805298,0.34928894,0.0646260074658111,0.41445923,0.12063599,0.01899164287839341,787,778,0.98856416772554
4,1.821106,0.45837402,0.05613937208026128,0.34057617,0.10908508,-0.008486635385549824,854,850,0.9953161592505855
5,2.0716248,0.60331726,0.06783433749939789,0.2505188,0.14494324,0.01169496541913661,852,848,0.9953051643192489
6,2.327301,0.7121124,0.08873432165645515,0.25567627,0.108795166,0.020899984157057253,840,835,0.9940476190476191
7,2.5690308,0.8478699,0.05463216445139474,0.24172974,0.13575745,-0.03410215720506041,849,846,0.9964664310954063
8,2.8624268,1.0317383,0.05286971474616067,0.293396,0.18386841,-0.0017624497052340646,805,800,0.9937888198757764
9,3.1860046,1.2055359,0.0638286901964047,0.32357788,0.1737976,0.010958975450244038,816,811,0.9938725490196079
10,3.6840515,1.5553284,0.100789505558864,0.49804688,0.34979248,0.03696081536245929,792,788,0.9949494949494949
11,4.196533,1.8297882,0.131916228400898,0.5124817,0.27445984,0.031126722842034,784,783,0.9987244897959183
12,4.6864014,2.2100067,0.13787154099683888,0.48986816,0.3802185,0.005955312595940858,792,791,0.9987373737373737
13,4.96402,2.2745056,0.1584508256380323,0.2776184,0.0644989,0.020579284641193442,791,783,0.9898862199747156
14,5.48407,2.5306091,0.14437580633493868,0.52005005,0.25610352,-0.014075019303093617,781,778,0.9961587708066582
15,5.900177,2.7231293,0.16972319826444238,0.41610718,0.19252014,0.02534739192950369,787,783,0.9949174078780177
16,6.375885,2.7631683,0.20428128223108655,0.475708,0.040039062,0.034558083966644164,812,806,0.9926108374384236
17,6.846924,3.0657196,0.14251192445642114,0.47103882,0.30255127,-0.061769357774665405,893,886,0.9921612541993281
18,7.163391,3.4206085,0.11107303981358087,0.3164673,0.35488892,-0.03143888464284027,883,876,0.9920724801812004
19,7.409424,3.770691,0.08134096600237349,0.24603271,0.3500824,-0.029732073811207373,896,887,0.9899553571428571
20,7.5794373,4.103348,0.03903619570762331,0.17001343,0.33265686,-0.04230477029475018,840,835,0.9940476190476191
21,7.6890564,4.468277,0.010393389542734693,0.10961914,0.3649292,-0.028642806164888616,891,889,0.9977553310886644
22,7.763214,4.8582306,-0.032590881316484126,0.074157715,0.3899536,-0.04298427085921882,955,954,0.9989528795811519
23,7.8035583,5.244446,-0.06035588179548994,0.04034424,0.3862152,-0.02776500047900581,975,973,0.997948717948718
24,7.8895264,5.6866913,-0.09188128506704092,0.08596802,0.44224548,-0.031525403271550984,1022,1016,0.9941291585127201
25,7.8483887,6.01416,-0.06266930307682265,-0.041137695,0.32746887,0.029211981990218266,984,984,1.0
26,7.836487,6.2915344,-0.10301363714236982,-0.0119018555,0.27737427,-0.04034433406554716,1026,1020,0.9941520467836257
27,7.8249207,6.601364,-0.10788906189085633,-0.011566162,0.3098297,-0.004875424748486517,1010,1006,0.996039603960396
28,7.967102,6.8302,-0.10721541181951448,0.1421814,0.22883606,0.0006736500713418445,1062,1061,0.9990583804143126
29,7.893036,7.162689,-0.15416591684385061,-0.07406616,0.332489,-0.04695050502433614,1055,1049,0.9943127962085309
