frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0
1,0.5305176,0.16824341,-0.0026711844133598533,0.530517578125,0.168243408203125,-0.0026711844133598533,316,316,1.0,1.0
2,0.91581345,0.41293067,-0.032254820542124495,0.385284423828125,0.2447052001953125,-0.02958363612876464,306,305,0.9967320261437909,1.0
3,1.3482563,0.5910167,-0.006129699294753394,0.432342529296875,0.1783294677734375,0.0261251212473711,311,310,0.9967845659163987,1.0
4,1.7373781,0.8020499,0.023697556297227463,0.38909912109375,0.2110748291015625,0.029827255591980857,296,296,1.0,1.0
5,1.9301265,1.0249385,-0.011562140767111515,0.192840576171875,0.222808837890625,-0.03525969706433898,294,294,1.0,1.0
6,2.188213,1.172744,-0.000794439690440716,0.258056640625,0.147857666015625,0.0107677010766708,312,312,1.0,1.0
7,2.4354398,1.4490772,-0.0014939300189515184,0.247222900390625,0.276336669921875,-0.0006994903285108024,331,329,0.9939577039274925,1.0
8,2.7027786,1.6346171,-0.012585000736307464,0.267333984375,0.185546875,-0.011091070717355945,340,340,1.0,1.0
9,3.0184839,1.91682,-0.0554267674940216,0.315643310546875,0.2822723388671875,-0.04284176675771414,355,351,0.9887323943661972,1.0
10,3.359634,2.2890182,-0.09630120314723274,0.340789794921875,0.372528076171875,-0.04087443565321114,403,373,0.9255583126550868,1.0
11,3.6833878,2.611381,-0.13122709625208567,0.323211669921875,0.322906494140625,-0.034925893104852945,396,366,0.9242424242424242,1.0
12,3.9845412,2.8934832,-0.40630535851554583,0.300506591796875,0.2827911376953125,-0.27507826226346016,420,402,0.9571428571428572,1.0
13,3.842068,3.2659628,-0.8970598875734344,-0.145111083984375,0.3714599609375,-0.49075452905788847,456,453,0.993421052631579,1.0
14,3.9738753,3.5983822,-1.4110169485203645,0.1265869140625,0.334442138671875,-0.5139570609469302,489,488,0.9979550102249489,1.0
15,3.9797692,4.1450186,-1.77006714595584,-0.007568359375,0.5466156005859375,-0.35905019743547534,506,504,0.9960474308300395,1.0
16,4.039745,4.464485,-2.1489224870973733,0.050079345703125,0.3211669921875,-0.3788553411415334,511,510,0.9980430528375733,1.0
17,4.1436715,4.8763595,-2.387709673192216,0.088409423828125,0.4154815673828125,-0.2387871860948425,533,527,0.9887429643527205,1.0
18,4.0850706,5.250265,-2.601209424244097,-0.074127197265625,0.3711395263671875,-0.21349975105188135,558,554,0.992831541218638,1.0
19,3.938763,5.6911974,-2.9559944027320535,-0.166168212890625,0.433837890625,-0.3547849784879564,595,591,0.9932773109243698,1.0
20,3.7924218,6.3049226,-3.145868159662201,-0.17779541015625,0.6053619384765625,-0.1898737569301473,604,601,0.9950331125827815,1.0
21,3.7619264,6.960691,-3.422441175207023,-0.066436767578125,0.653106689453125,-0.2765730155448225,609,604,0.9917898193760263,1.0
22,3.594817,7.441694,-3.58255524209671,-0.195526123046875,0.4701690673828125,-0.16011406688968666,596,592,0.9932885906040269,1.0
23,3.4713528,7.870122,-3.677539244564462,-0.149993896484375,0.4198760986328125,-0.09498400246775211,599,598,0.998330550918197,1.0
24,3.412222,8.303273,-3.7709620232111702,-0.0867919921875,0.428466796875,-0.09342277864670828,591,590,0.9983079526226735,1.0
25,3.3426259,8.577702,-4.033587252701297,-0.087493896484375,0.269256591796875,-0.2626252294901265,596,593,0.9949664429530202,1.0
26,3.2706287,8.982327,-4.114584001572098,-0.10028076171875,0.3985595703125,-0.08099674887080058,609,605,0.993431855500821,1.0
27,3.0816584,9.402028,-4.208547625905161,-0.218597412109375,0.405059814453125,-0.09396362433306331,614,611,0.995114006514658,1.0
28,3.0706854,9.714498,-4.508592396637296,-0.03387451171875,0.310821533203125,-0.3000447707321347,634,631,0.9952681388012619,1.0
29,2.9553397,10.169125,-4.575361297524022,-0.150726318359375,0.44415283203125,-0.0667689008867263,604,597,0.9884105960264901,1.0
30,2.6990802,10.5856085,-4.694156739824009,-0.288665771484375,0.39471435546875,-0.11879544229998676,619,615,0.9935379644588045,1.0
31,2.5206962,10.877339,-4.900766367436277,-0.20166015625,0.276153564453125,-0.20660962761226845,585,582,0.9948717948717949,1.0
32,2.5041072,11.227203,-5.17793951964619,-0.046417236328125,0.34716796875,-0.27717315220991384,593,591,0.9966273187183811,1.0
33,2.3122418,11.47392,-5.278916007906317,-0.213348388671875,0.2283935546875,-0.10097648826012648,597,594,0.9949748743718593,1.0
34,2.1639588,11.812807,-5.365934984060919,-0.1788330078125,0.3238067626953125,-0.08701897615460229,587,584,0.9948892674616695,1.0
35,2.0932019,12.104746,-5.415698662668244,-0.097747802734375,0.2840423583984375,-0.049763678607324766,598,596,0.9966555183946488,1.0
36,1.9477006,12.399151,-5.528908937923252,-0.172637939453125,0.27935791015625,-0.11321027525500844,596,593,0.9949664429530202,1.0
37,1.8143152,12.524125,-5.669833072967436,-0.144805908203125,0.111541748046875,-0.1409241350441838,595,592,0.9949579831932773,1.0
38,1.7819645,12.73761,-5.849393375636768,-0.05328369140625,0.2092437744140625,-0.17956030266933182,597,595,0.9966499162479062,1.0
39,1.7062953,12.88565,-5.901130004180458,-0.090362548828125,0.139556884765625,-0.05173662854368999,588,588,1.0,1.0
40,1.5575414,13.065072,-5.978234323249991,-0.166412353515625,0.163177490234375,-0.0771043190695327,601,600,0.9983361064891847,1.0
41,1.3112984,13.18081,-6.065598778759792,-0.2569580078125,0.0894622802734375,-0.08736445550980175,602,599,0.9950166112956811,1.0
42,1.1527114,13.393521,-6.123325879679264,-0.18017578125,0.19476318359375,-0.05772710091947187,607,604,0.9950576606260296,1.0
