original_frame_idx,extracted_15hz_idx,time_sec,success,reason,frame_keypoints,satellite_keypoints,good_matches,inliers,inlier_ratio,sat_px,sat_py,estimated_lat,estimated_lon,runtime_sec
0,0,0.0,True,success,20986,2935,1773,9,0.005076142131979695,312.8894348144531,591.8530883789062,43.52196345061943,-5.6247007149579815,0.31276702880859375
30,15,1.0010000000000001,True,success,19663,2935,1805,14,0.00775623268698061,690.8699340820312,1019.1685180664062,43.52152020374834,-5.624160009516601,0.40624213218688965
60,30,2.0020000000000002,True,success,19021,2935,1756,16,0.009111617312072893,687.764404296875,1005.790771484375,43.521534080301834,-5.624164452012593,0.3491520881652832
90,45,3.003,True,success,19219,2935,1787,15,0.008393956351426972,675.5861206054688,1016.4630126953125,43.521523010132306,-5.624181873187155,0.3144218921661377
120,60,4.0040000000000004,False,not_enough_inliers,8216,2935,603,6,0.009950248756218905,,,,,0.1648869514465332
150,75,5.005,False,not_enough_inliers,8320,2935,574,4,0.006968641114982578,,,,,0.16790509223937988
180,90,6.006,True,success,8264,2935,637,9,0.0141287284144427,312.53656005859375,591.8126220703125,43.521963492594274,-5.624701219749369,0.17415380477905273
210,105,7.007000000000001,False,not_enough_inliers,8098,2935,647,6,0.00927357032457496,,,,,0.16434931755065918
240,120,8.008000000000001,True,success,7001,2935,566,8,0.014134275618374558,1091.049560546875,345.86883544921875,43.522218604334434,-5.623587547969038,0.15197014808654785
270,135,9.009,True,success,5821,2935,472,11,0.023305084745762712,37.55168914794922,295.1732482910156,43.52227118954773,-5.6250945887625505,0.13882184028625488
300,150,10.01,True,success,4841,2935,434,11,0.02534562211981567,981.1304931640625,2891.80810546875,43.51957770883374,-5.623744788456207,0.12819600105285645
330,165,11.011000000000001,True,success,4702,2935,455,13,0.02857142857142857,142.7124786376953,67.25238037109375,43.52250760536652,-5.6249441550465065,0.1321268081665039
360,180,12.012,False,not_enough_inliers,4836,2935,487,1,0.002053388090349076,,,,,0.13043522834777832
390,195,13.013,True,success,5333,2935,546,22,0.040293040293040296,146.91065979003906,70.26237487792969,43.52250448319108,-5.6249381495001955,0.13598084449768066
420,210,14.014000000000001,True,success,5938,2935,579,22,0.037996545768566495,537.1525268554688,1135.1248779296875,43.521399923669144,-5.6243799040314855,0.14284706115722656
