frame_idx,vo_idx,est_lat,est_lon,good_matches,inliers,mean_score,dist_nominal_m
405,405,43.521606,-5.6245575,17,6,1.0,44.26691531889973
495,495,43.52097,-5.6226635,15,6,1.0,170.99800168269326
510,510,43.521854,-5.6246514,19,6,1.0,31.194649948549802
525,525,43.521366,-5.6230392,22,8,1.0,120.28901539420836
705,705,43.521465,-5.6238046,11,7,1.0,67.00602455843841
720,720,43.52327,-5.6238394,10,6,1.0,150.95265427509136
870,870,43.522194,-5.623313,19,6,1.0,83.28002951754961
885,885,43.523106,-5.624721,24,7,1.0,132.88133793522738
930,930,43.524357,-5.630498,20,7,1.0,568.0447285321256
945,945,43.52242,-5.6234956,22,6,1.0,82.43753103912563
960,960,43.52113,-5.623708,28,6,1.0,103.06355457128132
1185,1185,43.521477,-5.6243367,21,6,1.0,53.21536500646044
1230,1230,43.52295,-5.623266,36,7,1.0,138.25067719141038
1245,1245,43.521976,-5.6244197,30,6,1.0,10.774853491159773
1260,1260,43.522175,-5.624025,24,6,1.0,32.628301583553146
1275,1275,43.52163,-5.624558,27,6,1.0,42.0808228618404
1290,1290,43.52163,-5.6245604,21,6,1.0,42.18007327006836
1305,1305,43.522926,-5.623659,38,6,1.0,119.6619903090579
1320,1320,43.522633,-5.6219964,20,6,1.0,199.97291609046434
1335,1335,43.522472,-5.6238227,17,6,1.0,68.9795879559028
1350,1350,43.522415,-5.622107,20,7,1.0,183.5459927256806
1380,1380,43.522793,-5.623238,28,6,1.0,126.24364386234306
1395,1395,43.523067,-5.623405,24,6,1.0,143.10452237176844
1410,1410,43.523113,-5.622736,29,7,1.0,180.00058954193534
1425,1425,43.521664,-5.6234956,27,6,1.0,71.78792584193431
1455,1455,43.52316,-5.623124,23,6,1.0,163.9002194679214
1470,1470,43.52237,-5.622573,27,6,1.0,146.12702264123766
1515,1515,43.523083,-5.622981,24,6,1.0,164.20325911532547
1530,1530,43.523067,-5.6231146,30,7,1.0,156.1326235600818
1575,1575,43.52143,-5.6222577,21,6,1.0,174.05490145764205
1755,1755,43.522312,-5.6265526,19,6,1.0,186.94622978885675
1770,1770,43.519985,-5.626,23,9,1.0,258.9685104353003
1815,1815,43.52209,-5.622929,18,6,1.0,110.90899953955112
1845,1845,43.521244,-5.6249013,28,7,1.0,93.13173361779764
1860,1860,43.521378,-5.6241994,14,6,1.0,64.53814462288827
1875,1875,43.521732,-5.6253343,14,6,1.0,87.8176616913446
1905,1905,43.521656,-5.624862,28,6,1.0,56.83706138316497
1920,1920,43.521633,-5.6248207,26,6,1.0,55.74596286501943
1935,1935,43.521652,-5.6248584,17,6,1.0,56.83672641286916
1950,1950,43.521667,-5.625205,26,6,1.0,80.43620339988249
2130,2130,43.521553,-5.6230593,16,6,1.0,108.8902358689575
2160,2160,43.521072,-5.6217837,15,6,1.0,224.83141164528843
2250,2250,43.522522,-5.6245914,21,8,1.0,67.78813110845316
2265,2265,43.522377,-5.6242704,21,8,1.0,47.16279223122282
2280,2280,43.522167,-5.623626,21,8,1.0,58.61841242810901
2340,2340,43.521465,-5.625182,14,6,1.0,90.22547568353758
2415,2415,43.519924,-5.6271033,14,6,1.0,320.3244754916609
2550,2550,43.521378,-5.624383,29,7,1.0,64.56023506366108
2595,2595,43.52159,-5.624892,30,8,1.0,63.171822222355765
2610,2610,43.52146,-5.6248455,27,7,1.0,70.7923709185596
2655,2655,43.521614,-5.624721,22,6,1.0,51.37193860778713
2685,2685,43.522858,-5.6248045,18,6,1.0,108.87478566385589
2700,2700,43.52168,-5.6247582,29,8,1.0,48.61534606559736
2730,2730,43.519493,-5.6261253,20,6,1.0,311.398993671446
2745,2745,43.5216,-5.624432,20,6,1.0,41.124568483371874
2805,2805,43.52128,-5.624847,27,6,1.0,87.58199984954953
2820,2820,43.521988,-5.624434,25,7,1.0,12.236148862681507
2835,2835,43.52111,-5.624676,24,6,1.0,98.89118134848411
2865,2865,43.52208,-5.6230597,22,6,1.0,100.28800786810858
2880,2880,43.52182,-5.623649,23,6,1.0,53.82331521260971
3000,3000,43.522118,-5.624807,16,6,1.0,45.543912335089495
3030,3030,43.523235,-5.6232185,16,6,1.0,166.84861531622357
3255,3255,43.52248,-5.624843,13,7,1.0,73.67271557332238
3270,3270,43.525604,-5.6241307,15,6,1.0,406.5953437632003
3360,3360,43.521156,-5.624684,13,6,1.0,94.27483830984974
