frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0
1,0.49978638,0.15879822,-0.008318444145144587,0.49978638,0.15879822,-0.008318444145144587,331,331,1.0,1.0
2,0.89675903,0.3715973,-0.06015817890420589,0.39697266,0.21279907,-0.051839734759061305,313,313,1.0,1.0
3,1.3217773,0.49552917,-0.04786533690862528,0.4250183,0.123931885,0.012292841995580606,326,326,1.0,1.0
4,1.7171326,0.64260864,-0.02908774985912019,0.39535522,0.14707947,0.01877758704950509,295,295,1.0,1.0
5,1.8815613,0.84565735,-0.05925374683733595,0.16442871,0.2030487,-0.030165996978215755,302,302,1.0,1.0
6,2.0498962,1.0310059,-0.06589911040753443,0.16833496,0.18534851,-0.006645363570198481,318,318,1.0,1.0
7,2.3363037,1.3328094,-0.05416725114815327,0.28640747,0.3018036,0.011731859259381165,324,324,1.0,1.0
8,2.609253,1.5570526,-0.0757641917215946,0.27294922,0.22424316,-0.02159694057344133,335,334,0.9970149253731343,1.0
9,2.9499817,1.8367615,-0.15862432717638159,0.34072876,0.27970886,-0.082860135454787,352,352,1.0,1.0
10,3.0516052,2.2314606,-0.3994789625131012,0.101623535,0.3946991,-0.2408546353367196,391,391,1.0,1.0
11,3.186554,2.6375885,-0.6586688650440597,0.13494873,0.40612793,-0.2591899025309586,397,397,1.0,1.0
12,3.3220215,2.9555664,-1.0121413518551923,0.13546753,0.3179779,-0.3534724868111324,409,409,1.0,1.0
13,3.29953,3.1866608,-1.564980444453429,-0.022491455,0.23109436,-0.5528390925982367,448,448,1.0,1.0
14,3.36438,3.4893951,-2.1255924695589368,0.06484985,0.30273438,-0.560612025105508,491,491,1.0,1.0
15,3.3636475,3.8912659,-2.5284243792509544,-0.0007324219,0.40187073,-0.4028319096920175,494,494,1.0,1.0
16,3.4248352,4.246292,-2.854243671887485,0.061187744,0.35502625,-0.32581929263653076,507,507,1.0,1.0
17,3.3200073,4.749588,-3.19868528011958,-0.10482788,0.5032959,-0.3444416082320952,509,509,1.0,1.0
18,3.406067,5.071335,-3.3829487543499686,0.08605957,0.32174683,-0.18426347423038839,533,533,1.0,1.0
19,3.278595,5.5921326,-3.6763658135437565,-0.12747192,0.5207977,-0.293417059193788,559,559,1.0,1.0
20,3.4855347,6.1331635,-4.093105759756232,0.2069397,0.5410309,-0.4167399462124752,581,577,0.9931153184165232,1.0
21,3.4359436,6.695389,-4.345533554966079,-0.049591064,0.56222534,-0.2524277952098472,581,581,1.0,1.0
22,3.3197021,7.379181,-4.414167837628145,-0.116241455,0.6837921,-0.06863428266206527,586,586,1.0,1.0
23,3.1616821,7.8170776,-4.51683623171576,-0.15802002,0.43789673,-0.10266839408761576,592,592,1.0,1.0
24,3.0542603,8.26059,-4.575196628587496,-0.107421875,0.44351196,-0.05836039687173603,597,597,1.0,1.0
25,2.89328,8.615204,-4.68406095993257,-0.16098022,0.35461426,-0.10886433134507414,600,600,1.0,1.0
26,2.7217407,9.053986,-4.774853753943585,-0.1715393,0.43878174,-0.09079279401101471,599,599,1.0,1.0
27,2.4091492,9.537628,-4.857574053101693,-0.31259155,0.48364258,-0.0827202991581086,604,604,1.0,1.0
28,2.2027893,9.931305,-4.99395061506107,-0.20635986,0.39367676,-0.13637656195937742,608,608,1.0,1.0
29,2.0364075,10.287842,-5.089358925095053,-0.16638184,0.35653687,-0.09540831003398284,598,598,1.0,1.0
30,1.7330017,10.766663,-5.231605584163945,-0.30340576,0.4788208,-0.14224665906889217,597,597,1.0,1.0
31,1.490448,11.064377,-5.364689709810247,-0.24255371,0.29771423,-0.1330841256463023,591,591,1.0,1.0
32,1.2974854,11.412964,-5.484563231264644,-0.19296265,0.34858704,-0.11987352145439686,596,596,1.0,1.0
33,1.1679993,11.622421,-5.720655691933002,-0.12948608,0.2094574,-0.23609246066835762,596,596,1.0,1.0
34,0.9762268,11.932907,-5.793559792729685,-0.19177246,0.31048584,-0.07290410079668286,582,582,1.0,1.0
35,0.87442017,12.179535,-5.857949568245838,-0.10180664,0.24662781,-0.06438977551615283,600,600,1.0,1.0
36,0.67163086,12.507568,-5.960572590185007,-0.2027893,0.32803345,-0.10262302193916892,598,598,1.0,1.0
37,0.5082092,12.739166,-6.0467520893329665,-0.16342163,0.2315979,-0.08617949914795957,590,590,1.0,1.0
38,0.41708374,12.968521,-6.146428026373757,-0.09112549,0.22935486,-0.09967593704079064,585,585,1.0,1.0
39,0.25100708,13.21431,-6.1998347024523515,-0.16607666,0.24578857,-0.05340667607859517,585,585,1.0,1.0
40,0.15856934,13.375336,-6.292563086035654,-0.092437744,0.161026,-0.09272838358330207,586,586,1.0,1.0
41,-0.07885742,13.445068,-6.383444094331583,-0.23742676,0.069732666,-0.09088100829592954,587,587,1.0,1.0
42,-0.1972351,13.597244,-6.413239585862573,-0.118377686,0.1521759,-0.029795491530989163,601,601,1.0,1.0
43,-0.44058228,13.752304,-6.443661242294841,-0.24334717,0.15505981,-0.03042165643226845,597,597,1.0,1.0
44,-0.5856018,13.843109,-6.463732022421807,-0.14501953,0.09080505,-0.02007078012696577,613,613,1.0,1.0
45,-0.70614624,13.980316,-6.536318347943782,-0.12054443,0.13720703,-0.07258632552197473,612,612,1.0,1.0
46,-0.7156372,13.933502,-6.653050075629247,-0.009490967,-0.046813965,-0.11673172768546504,627,627,1.0,1.0
47,-0.7207947,13.900253,-6.658440811541773,-0.0051574707,-0.0332489,-0.005390735912525662,615,615,1.0,1.0
48,-0.78915405,13.862473,-6.67216591693741,-0.068359375,-0.03778076,-0.013725105395637394,617,617,1.0,1.0
49,-0.9141846,13.825256,-6.730600262697522,-0.12503052,-0.037216187,-0.05843434576011257,621,621,1.0,1.0
50,-0.901062,13.679092,-6.737769814146124,0.013122559,-0.14616394,-0.007169551448601498,613,613,1.0,1.0
51,-1.0124512,13.4678955,-6.7447766328857615,-0.11138916,-0.2111969,-0.007006818739637854,607,607,1.0,1.0
52,-1.0745239,13.385773,-6.768513586932779,-0.062072754,-0.0821228,-0.02373695404701825,584,584,1.0,1.0
53,-0.9501648,13.379288,-6.734116158382134,0.12435913,-0.0064849854,0.034397428550644905,562,562,1.0,1.0
54,-1.073761,13.378845,-6.725321223392372,-0.12359619,-0.00044250488,0.00879493498976179,576,576,1.0,1.0
55,-1.0016785,13.251663,-6.725580615941539,0.07208252,-0.127182,-0.00025939254916749533,594,594,1.0,1.0
56,-1.1188049,13.064789,-6.724318869110814,-0.117126465,-0.18687439,0.0012617468307256235,572,572,1.0,1.0
57,-1.0772705,12.897385,-6.70544937086663,0.041534424,-0.16740417,0.018869498244184324,595,595,1.0,1.0
58,-0.98791504,12.659088,-6.679601739692757,0.08935547,-0.23829651,0.025847631173873013,579,579,1.0,1.0
59,-0.7710571,12.183792,-6.6822825778584525,0.21685791,-0.47529602,-0.002680838165695795,578,578,1.0,1.0
60,-0.71698,11.833466,-6.7188607961676805,0.05407715,-0.35032654,-0.036578218309228416,603,603,1.0,1.0
61,-0.7128296,11.546448,-6.7260862807025585,0.0041503906,-0.28701782,-0.007225484534878255,614,614,1.0,1.0
62,-0.7072754,11.38176,-6.73251347465157,0.005554199,-0.16468811,-0.006427193949010862,630,630,1.0,1.0
63,-0.62719727,11.196838,-6.73957767441161,0.080078125,-0.18492126,-0.007064199760040366,610,610,1.0,1.0
64,-0.65231323,11.103516,-6.7183587519286405,-0.025115967,-0.093322754,0.021218922482968975,608,608,1.0,1.0
65,-0.6827698,10.956772,-6.704233337178227,-0.030456543,-0.14674377,0.014125414750413696,635,635,1.0,1.0
66,-0.7155762,10.777252,-6.7071242114919745,-0.032806396,-0.17951965,-0.002890874313747422,578,578,1.0,1.0
67,-0.75823975,10.620972,-6.725120493947083,-0.042663574,-0.15628052,-0.017996282455108082,585,585,1.0,1.0
68,-0.75253296,10.27063,-6.717705529847168,0.005706787,-0.3503418,0.0074149640999143385,578,578,1.0,1.0
69,-0.80651855,10.092239,-6.676677987694893,-0.053985596,-0.1783905,0.041027542152275914,623,623,1.0,1.0
70,-0.92471313,9.816132,-6.685140130815777,-0.11819458,-0.2761078,-0.008462143120884431,596,596,1.0,1.0
71,-1.0335083,9.654892,-6.685693048837438,-0.108795166,-0.16123962,-0.0005529180216600181,558,558,1.0,1.0
72,-1.103241,9.403427,-6.67297323200681,-0.069732666,-0.25146484,0.012719816830627647,557,557,1.0,1.0
73,-1.2184753,9.22995,-6.693804050898028,-0.115234375,-0.17347717,-0.020830818891217785,563,563,1.0,1.0
74,-1.3268433,9.029892,-6.7215795197068084,-0.10836792,-0.20005798,-0.027775468808780644,547,547,1.0,1.0
75,-1.3520203,8.773315,-6.7860858315530885,-0.025177002,-0.25657654,-0.06450631184627982,529,529,1.0,1.0
76,-1.3356323,8.487091,-6.78559335877201,0.01638794,-0.28622437,0.0004924727810789397,522,522,1.0,1.0
77,-1.3339539,8.217529,-6.824730722174568,0.0016784668,-0.26956177,-0.03913736340255802,535,535,1.0,1.0
78,-1.2837524,7.838379,-6.828021745749265,0.050201416,-0.3791504,-0.0032910235746966784,510,510,1.0,1.0
79,-1.0713196,7.522476,-6.889498432423857,0.21243286,-0.3159027,-0.06147668667459228,516,516,1.0,1.0
80,-0.9378967,7.2314606,-6.911813172432061,0.13342285,-0.29101562,-0.02231474000820341,521,521,1.0,1.0
81,-0.88549805,6.943741,-6.992384642299922,0.05239868,-0.28771973,-0.08057146986786104,533,533,1.0,1.0
82,-0.6859131,6.6855774,-7.1090027187855425,0.19958496,-0.25816345,-0.11661807648562052,536,536,1.0,1.0
83,-0.46453857,6.5368958,-7.157721226540208,0.22137451,-0.14868164,-0.04871850775466553,497,497,1.0,1.0
84,-0.35723877,6.453491,-7.225491916044318,0.107299805,-0.08340454,-0.06777068950410894,487,487,1.0,1.0
85,-0.25253296,6.3804474,-7.436879717673669,0.10470581,-0.07304382,-0.21138780162935183,498,498,1.0,1.0
86,-0.23391724,6.5156097,-7.540654977829799,0.018615723,0.13516235,-0.10377526015612987,492,492,1.0,1.0
87,-0.02722168,6.662262,-7.598524600332374,0.20669556,0.14665222,-0.057869622502575185,490,490,1.0,1.0
88,0.04449463,6.7600555,-7.738686757443294,0.07171631,0.09779358,-0.1401621571109199,477,477,1.0,1.0
89,-0.07046509,7.0049744,-7.808167382573022,-0.11495972,0.24491882,-0.06948062512972755,483,483,1.0,1.0
90,0.10726929,7.0890656,-7.8966989750211285,0.17773438,0.08409119,-0.08853159244810585,498,498,1.0,1.0
91,0.21868896,7.271927,-7.989071737072468,0.11141968,0.18286133,-0.09237276205133987,494,494,1.0,1.0
92,0.33648682,7.448715,-8.0987629138622,0.11779785,0.17678833,-0.10969117678973309,488,488,1.0,1.0
93,0.4614563,7.7027893,-8.236999639972554,0.12496948,0.2540741,-0.1382367261103539,458,458,1.0,1.0
94,0.65249634,7.8565826,-8.424762846634293,0.19104004,0.15379333,-0.18776320666173885,465,465,1.0,1.0
95,0.7331238,8.135605,-8.541003140936866,0.08062744,0.27902222,-0.11624029430257271,445,445,1.0,1.0
96,0.69644165,8.333618,-8.767781880376353,-0.03668213,0.1980133,-0.22677873943948762,426,426,1.0,1.0
97,0.7367859,8.433853,-8.904439659199912,0.04034424,0.100234985,-0.13665777882356048,427,427,1.0,1.0
98,0.7581177,8.617371,-9.078332916094894,0.021331787,0.18351746,-0.1738932568949805,422,422,1.0,1.0
99,0.67248535,8.5099945,-9.372682533589993,-0.085632324,-0.1073761,-0.2943496174950995,413,413,1.0,1.0
100,0.7588806,8.71582,-9.492644687138347,0.08639526,0.2058258,-0.11996215354835343,429,429,1.0,1.0
101,0.6963501,8.908447,-9.597255214657537,-0.06253052,0.19262695,-0.10461052751919045,427,427,1.0,1.0
102,0.5722656,9.057434,-9.745695722397501,-0.12408447,0.14898682,-0.14844050773996523,409,409,1.0,1.0
103,0.54397583,9.208282,-9.85966727036435,-0.028289795,0.15084839,-0.1139715479668479,398,398,1.0,1.0
104,0.3204956,9.440918,-10.000060709355592,-0.22348022,0.2326355,-0.14039343899124318,410,410,1.0,1.0
105,0.13452148,9.670853,-10.133108115938725,-0.18597412,0.22993469,-0.13304740658313213,429,429,1.0,1.0
106,-0.13195801,9.876892,-10.247379932721767,-0.2664795,0.20603943,-0.11427181678304235,422,422,1.0,1.0
107,-0.12600708,10.138412,-10.285906423287999,0.0059509277,0.2615204,-0.038526490566231524,399,399,1.0,1.0
108,-0.3095398,10.229401,-10.403809405036057,-0.18353271,0.09098816,-0.11790298174805783,409,409,1.0,1.0
109,-0.38534546,10.474106,-10.466960348915595,-0.075805664,0.2447052,-0.06315094387953848,412,412,1.0,1.0
110,-0.58480835,10.501312,-10.608649668927054,-0.19946289,0.02720642,-0.14168932001145917,414,414,1.0,1.0
111,-0.77093506,10.548981,-10.785440518081783,-0.18612671,0.047668457,-0.17679084915472884,411,411,1.0,1.0
112,-0.8840332,10.827408,-10.892498636633553,-0.113098145,0.27842712,-0.10705811855177023,418,418,1.0,1.0
113,-1.0595398,11.005829,-11.010237810900028,-0.17550659,0.17842102,-0.11773917426647587,420,420,1.0,1.0
114,-1.0973816,11.29718,-11.106514847043854,-0.037841797,0.29135132,-0.09627703614382714,417,417,1.0,1.0
115,-1.2063599,11.584,-11.251646227833414,-0.10897827,0.28681946,-0.14513138078955978,441,441,1.0,1.0
116,-1.2705383,11.865356,-11.354675415630334,-0.06417847,0.2813568,-0.1030291877969212,442,442,1.0,1.0
117,-1.4516296,12.1093445,-11.506871876994403,-0.18109131,0.24398804,-0.1521964613640692,459,459,1.0,1.0
118,-1.4566345,12.419922,-11.62197021741769,-0.005004883,0.3105774,-0.11509834042328788,442,442,1.0,1.0
119,-1.5340576,12.718353,-11.745994267147479,-0.077423096,0.2984314,-0.1240240497297879,438,438,1.0,1.0
120,-1.561554,12.824432,-11.873507401638838,-0.027496338,0.1060791,-0.12751313449135823,425,425,1.0,1.0
121,-1.6256104,13.005554,-11.969873472279684,-0.0640564,0.18112183,-0.09636607064084506,433,433,1.0,1.0
122,-1.6594849,13.275696,-12.036297694065341,-0.03387451,0.2701416,-0.06642422178565778,435,435,1.0,1.0
123,-1.6757507,13.345215,-12.128816390162408,-0.01626587,0.06951904,-0.09251869609706559,433,433,1.0,1.0
124,-1.7105103,13.408936,-12.217662014543123,-0.03475952,0.0637207,-0.08884562438071592,435,435,1.0,1.0
125,-1.8308105,13.481674,-12.340909895408231,-0.12030029,0.07273865,-0.12324788086510778,450,450,1.0,1.0
126,-1.8066711,13.456375,-12.409979285179087,0.024139404,-0.025299072,-0.06906938977085678,433,433,1.0,1.0
127,-1.6943359,13.61554,-12.430692714001525,0.112335205,0.15916443,-0.02071342882243764,419,419,1.0,1.0
128,-1.7937622,13.759171,-12.546692384985834,-0.09942627,0.14363098,-0.11599967098430808,435,435,1.0,1.0
129,-1.9353638,13.693665,-12.633203966869477,-0.14160156,-0.06550598,-0.08651158188364308,441,441,1.0,1.0
130,-1.9107361,13.605606,-12.667944662518389,0.024627686,-0.08805847,-0.03474069564891202,444,444,1.0,1.0
131,-1.9203186,13.623611,-12.71076249683325,-0.0095825195,0.018005371,-0.04281783431486149,427,427,1.0,1.0
132,-1.9397278,13.560089,-12.826562115285324,-0.01940918,-0.06352234,-0.11579961845207204,443,443,1.0,1.0
133,-1.980835,13.57901,-12.857058344610103,-0.041107178,0.018920898,-0.030496229324778166,443,443,1.0,1.0
134,-1.9337158,13.574219,-12.91195847614654,0.04711914,-0.0047912598,-0.05490013153643695,445,445,1.0,1.0
135,-1.9342651,13.512817,-12.979798603123037,-0.0005493164,-0.061401367,-0.06784012697649777,439,439,1.0,1.0
136,-1.8916931,13.434219,-13.071173862602901,0.04257202,-0.07859802,-0.09137525947986531,442,442,1.0,1.0
137,-1.766449,13.368195,-13.016541168072168,0.12524414,-0.06602478,0.054632694530733286,419,419,1.0,1.0
138,-1.7908325,13.359879,-13.1303651336399,-0.024383545,-0.00831604,-0.11382396556773164,419,419,1.0,1.0
139,-1.6628113,13.36058,-13.154312691574145,0.12802124,0.0007019043,-0.023947557934244634,424,424,1.0,1.0
140,-1.382782,13.384079,-13.184488475948074,0.2800293,0.023498535,-0.030175784373928916,427,427,1.0,1.0
141,-1.2816162,13.400635,-13.213144809309984,0.10116577,0.016555786,-0.028656333361911132,435,435,1.0,1.0
142,-1.1405334,13.289932,-13.244943993758765,0.14108276,-0.110702515,-0.03179918444878154,412,412,1.0,1.0
143,-1.1167297,13.32843,-13.253924894299034,0.023803711,0.038497925,-0.008980900540269551,429,429,1.0,1.0
144,-1.0046997,13.33226,-13.237706971275296,0.11203003,0.003829956,0.016217923023737667,425,425,1.0,1.0
145,-0.91171265,13.336136,-13.242831709660184,0.09298706,0.0038757324,-0.005124738384886985,429,429,1.0,1.0
146,-0.8280029,13.432266,-13.245214842857559,0.08370972,0.09613037,-0.0023831331973753972,423,423,1.0,1.0
147,-0.7021179,13.558105,-13.245403630420265,0.12588501,0.12583923,-0.00018878756270705935,401,401,1.0,1.0
148,-0.6057739,13.6645355,-13.317083597317275,0.096343994,0.10643005,-0.07167996689701092,434,434,1.0,1.0
149,-0.5700073,13.773682,-13.279316861655293,0.0357666,0.10914612,0.03776673566198193,436,436,1.0,1.0
150,-0.60217285,13.949402,-13.31415429382357,-0.032165527,0.17572021,-0.03483743216827808,436,436,1.0,1.0
151,-0.58566284,14.005722,-13.304409434330488,0.01651001,0.05632019,0.009744859493082347,451,451,1.0,1.0
152,-0.5927124,14.08934,-13.330371663209368,-0.0070495605,0.083618164,-0.025962228878880236,477,477,1.0,1.0
153,-0.5747986,14.139175,-13.329041939581797,0.017913818,0.049835205,0.0013297236275701184,458,458,1.0,1.0
154,-0.66326904,14.25708,-13.34963180255458,-0.08847046,0.11790466,-0.020589862972783143,457,457,1.0,1.0
155,-0.6369324,14.28157,-13.340524782184486,0.02633667,0.024490356,0.009107020370094155,464,464,1.0,1.0
156,-0.7210083,14.25618,-13.368473074639835,-0.08407593,-0.025390625,-0.02794829245534903,444,444,1.0,1.0
157,-0.7348633,14.267593,-13.349580838955903,-0.0138549805,0.011413574,0.018892235683932095,447,447,1.0,1.0
158,-0.789917,14.257095,-13.367902160098206,-0.05505371,-0.010498047,-0.018321321142301582,465,465,1.0,1.0
159,-0.8251648,14.284622,-13.339136720447325,-0.035247803,0.027526855,0.028765439650880506,465,465,1.0,1.0
160,-0.8907471,14.183502,-13.332413319205271,-0.065582275,-0.101119995,0.006723401242052963,471,471,1.0,1.0
161,-0.9750061,14.101822,-13.323738678091587,-0.08425903,-0.0816803,0.008674641113683674,483,483,1.0,1.0
162,-1.135315,14.007538,-13.361038805088885,-0.16030884,-0.09428406,-0.03730012699729726,471,471,1.0,1.0
163,-1.1852417,13.942627,-13.340574252769956,-0.049926758,-0.06491089,0.02046455231892938,479,479,1.0,1.0
164,-1.3096619,13.886337,-13.323552740752747,-0.124420166,-0.056289673,0.01702151201720911,458,458,1.0,1.0
165,-1.3952026,13.844437,-13.32508632655302,-0.08554077,-0.041900635,-0.001533585800272539,452,452,1.0,1.0
166,-1.3970642,13.877274,-13.325766559249379,-0.0018615723,0.032836914,-0.0006802326963587214,457,457,1.0,1.0
167,-1.476471,13.869446,-13.324334923034556,-0.07940674,-0.007827759,0.0014316362148227607,470,470,1.0,1.0
168,-1.5460205,13.867371,-13.31218749221555,-0.06954956,-0.0020751953,0.012147430819006228,479,479,1.0,1.0
169,-1.5145569,13.910522,-13.315430156784956,0.031463623,0.043151855,-0.0032426645694052054,483,483,1.0,1.0
170,-1.5670166,13.880035,-13.337214472998173,-0.052459717,-0.03048706,-0.021784316213217327,469,469,1.0,1.0
171,-1.5299072,13.942825,-13.305386975866787,0.037109375,0.06278992,0.03182749713138592,460,460,1.0,1.0
172,-1.5334167,14.037674,-13.294858597140959,-0.0035095215,0.09484863,0.010528378725828113,493,493,1.0,1.0
173,-1.5809021,14.042892,-13.293343106416412,-0.04748535,0.005218506,0.0015154907245468233,519,519,1.0,1.0
174,-1.480072,14.045715,-13.273787668801795,0.10083008,0.002822876,0.019555437614616585,533,533,1.0,1.0
175,-1.5337219,14.000977,-13.261594322509684,-0.053649902,-0.04473877,0.012193346292112182,535,535,1.0,1.0
176,-1.5522461,13.999191,-13.268556324826658,-0.01852417,-0.0017852783,-0.006962002316975592,546,546,1.0,1.0
177,-1.5541687,14.06311,-13.270439291459173,-0.0019226074,0.06391907,-0.0018829666325149454,562,562,1.0,1.0
178,-1.6231995,14.167816,-13.263035595297787,-0.06903076,0.10470581,0.007403696161386258,562,562,1.0,1.0
179,-1.6543274,14.263565,-13.242888904214375,-0.03112793,0.0957489,0.020146691083411352,566,566,1.0,1.0
180,-1.668335,14.292023,-13.2446972964632,-0.014007568,0.028457642,-0.0018083922488248822,560,560,1.0,1.0
181,-1.6622314,14.279617,-13.237059213480867,0.0061035156,-0.0124053955,0.007638082982332837,564,564,1.0,1.0
182,-1.6469421,14.227585,-13.246045853526214,0.015289307,-0.05203247,-0.008986640045346215,561,561,1.0,1.0
183,-1.6261292,14.175461,-13.24984047167188,0.020812988,-0.052124023,-0.003794618145666261,554,554,1.0,1.0
184,-1.5693665,14.077103,-13.234526007348373,0.056762695,-0.098358154,0.015314464323506641,537,537,1.0,1.0
185,-1.495697,13.977585,-13.229963915894338,0.07366943,-0.09951782,0.004562091454034706,535,535,1.0,1.0
186,-1.4754028,13.895706,-13.236578076655185,0.02029419,-0.08187866,-0.006614160760847778,539,539,1.0,1.0
187,-1.5501404,13.658524,-12.676941207761118,-0.07473755,-0.23718262,0.5596368688940663,475,475,1.0,1.0
188,-1.2693176,12.748276,-7.395771718261729,0.28082275,-0.9102478,5.281169489499389,461,461,1.0,1.0
189,-0.85491943,12.031616,-1.009179586366268,0.4143982,-0.71665955,6.386592131895461,460,460,1.0,1.0
190,-0.66433716,11.486008,5.606390445582449,0.19058228,-0.5456085,6.615570031948717,466,466,1.0,1.0
191,-0.4092102,10.910614,12.238487081384136,0.25512695,-0.5753937,6.6320966358016875,437,437,1.0,1.0
192,-0.26446533,10.310867,18.877840523454314,0.14474487,-0.5997467,6.6393534420701785,411,411,1.0,1.0
193,-0.19671631,9.6558075,25.56136532943108,0.06774902,-0.6550598,6.683524805976767,418,418,1.0,1.0
194,-0.17697144,8.895462,32.22046753834154,0.019744873,-0.76034546,6.659102208910454,420,420,1.0,1.0
195,-0.24658203,7.8918915,38.9136373735379,-0.069610596,-1.0035706,6.6931698351963655,405,405,1.0,1.0
196,-0.25613403,6.58609,45.562402929763465,-0.009552002,-1.3058014,6.648765556225564,398,398,1.0,1.0
197,-0.27130127,5.364746,52.292800825718665,-0.015167236,-1.221344,6.730397895955198,385,385,1.0,1.0
198,-0.21429443,4.051712,58.993246787662294,0.057006836,-1.313034,6.700445961943626,371,371,1.0,1.0
199,-0.21490479,2.7936554,65.66255872335996,-0.00061035156,-1.2580566,6.669311935697667,374,374,1.0,1.0
200,-0.020568848,1.5050659,72.3609955889778,0.19433594,-1.2885895,6.698436865617832,400,400,1.0,1.0
201,0.25784302,0.61976624,79.04090682428304,0.27841187,-0.8852997,6.67991123530524,420,420,1.0,1.0
202,0.6644592,0.0859375,85.70676335537595,0.4066162,-0.53382874,6.66585653109292,420,420,1.0,1.0
203,0.92614746,-0.080825806,92.3608472165946,0.26168823,-0.1667633,6.654083861218648,413,413,1.0,1.0
204,1.4603577,0.03125,99.0099805030174,0.5342102,0.112075806,6.6491332864227894,432,432,1.0,1.0
205,1.9143372,0.2692871,105.5190972950686,0.4539795,0.23803711,6.509116792051206,422,422,1.0,1.0
206,2.492279,0.74716187,111.18984978301717,0.5779419,0.47787476,5.670752487948569,431,431,1.0,1.0
207,2.8492432,1.602356,115.61947693752417,0.3569641,0.8551941,4.429627154507008,441,441,1.0,1.0
208,3.2669983,2.675583,118.58994422525919,0.41775513,1.0732269,2.970467287735013,437,437,1.0,1.0
