frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0
1,0.541687,0.113739,0.009247,0.54168701171875,0.113739013671875,0.00924655320021272,192,190,0.9895833333333334,1.0
2,0.956551,0.441855,-0.057124,0.4149169921875,0.3280487060546875,-0.0663702409910315,191,190,0.9947643979057592,1.0
3,1.380382,0.567104,-0.059632,0.4237060546875,0.12567138671875,-0.0025082377258391405,183,183,1.0,1.0
4,1.778478,0.795281,-0.040386,0.397857666015625,0.2285919189453125,0.01924632746279842,185,185,1.0,1.0
5,1.917805,0.989336,-0.271924,0.139190673828125,0.19415283203125,-0.23153805203703406,183,183,1.0,1.0
6,2.089199,1.183288,-0.309221,0.17047119140625,0.19476318359375,-0.037297500842307846,191,191,1.0,1.0
7,2.380984,1.4608,-0.301538,0.290283203125,0.279083251953125,0.007683034706109501,182,180,0.989010989010989,1.0
8,2.622242,1.712693,-0.329069,0.23992919921875,0.2531585693359375,-0.02753115624176881,183,181,0.9890710382513661,1.0
9,3.044708,1.963093,-0.327545,0.4210205078125,0.2528228759765625,0.0015241854632930382,180,171,0.95,1.0
10,3.38319,2.305814,-0.399192,0.336517333984375,0.3446502685546875,-0.07164644891838357,184,165,0.8967391304347826,1.0
11,3.391973,2.681663,-1.451773,0.00616455078125,0.3759002685546875,-1.0525814440923518,181,172,0.9502762430939227,1.0
12,3.753153,3.209669,-3.280677,0.347686767578125,0.5369873046875,-1.8289043557808686,181,159,0.8784530386740331,1.0
13,3.904064,3.539204,-3.772705,0.131805419921875,0.3376312255859375,-0.49202795189501836,177,173,0.9774011299435028,1.0
14,4.274253,3.648689,-5.402722,0.3621826171875,0.13360595703125,-1.6300162158286013,168,163,0.9702380952380952,1.0
15,4.129199,3.968915,-6.487839,-0.174560546875,0.305145263671875,-1.0851179307709666,177,176,0.9943502824858758,1.0
16,4.478954,4.382514,-7.41566,0.30078125,0.450469970703125,-0.9278203639210425,179,177,0.9888268156424581,1.0
17,4.699752,5.167189,-7.685181,0.11767578125,0.806610107421875,-0.26952110334468204,184,182,0.9891304347826086,1.0
18,5.284349,5.216945,-8.336679,0.57269287109375,0.1274871826171875,-0.6514981373009429,199,198,0.9949748743718593,1.0
19,5.96567,5.658239,-8.830552,0.610137939453125,0.5354156494140625,-0.49387313260519683,197,196,0.9949238578680203,1.0
20,6.245713,5.934503,-9.303491,0.23431396484375,0.31597900390625,-0.4729384579003291,196,189,0.9642857142857143,1.0
21,6.278117,6.755061,-9.500899,-0.100677490234375,0.81500244140625,-0.19740818498939833,201,196,0.9751243781094527,1.0
22,6.175253,7.442201,-9.686867,-0.214874267578125,0.660736083984375,-0.18596839320194464,206,205,0.9951456310679612,1.0
