frame_idx,cum_x,cum_y,cum_yaw,dx,dy,dyaw,good_matches,inliers,inlier_ratio,mean_score
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,1.0
1,0.541687,0.11373901,0.00924655320021272,0.54168701171875,0.113739013671875,0.00924655320021272,192,190,0.9895833333333334,1.0
2,0.956604,0.44178772,-0.057123687790818785,0.4149169921875,0.3280487060546875,-0.0663702409910315,191,190,0.9947643979057592,1.0
3,1.38031,0.5674591,-0.05963192551665793,0.4237060546875,0.12567138671875,-0.0025082377258391405,183,183,1.0,1.0
4,1.7781677,0.796051,-0.04038559805385951,0.397857666015625,0.2285919189453125,0.01924632746279842,185,185,1.0,1.0
5,1.9173584,0.99020386,-0.2719236500908936,0.139190673828125,0.19415283203125,-0.23153805203703406,183,183,1.0,1.0
6,2.0878296,1.184967,-0.30922115093320146,0.17047119140625,0.19476318359375,-0.037297500842307846,191,191,1.0,1.0
7,2.3781128,1.4640503,-0.301538116227092,0.290283203125,0.279083251953125,0.007683034706109501,182,180,0.989010989010989,1.0
8,2.618042,1.7172089,-0.3290692724688608,0.23992919921875,0.2531585693359375,-0.02753115624176881,183,181,0.9890710382513661,1.0
9,3.0390625,1.9700317,-0.3275450870055678,0.4210205078125,0.2528228759765625,0.0015241854632930382,180,171,0.95,1.0
10,3.3755798,2.314682,-0.39919153592395135,0.336517333984375,0.3446502685546875,-0.07164644891838357,184,165,0.8967391304347826,1.0
11,3.3817444,2.6905823,-1.451772980016303,0.00616455078125,0.3759002685546875,-1.0525814440923518,181,172,0.9502762430939227,1.0
12,3.7294312,3.2275696,-3.2806773357971717,0.347686767578125,0.5369873046875,-1.8289043557808686,181,159,0.8784530386740331,1.0
13,3.8612366,3.5652008,-3.7727052876921903,0.131805419921875,0.3376312255859375,-0.49202795189501836,177,173,0.9774011299435028,1.0
14,4.223419,3.6988068,-5.402721503520792,0.3621826171875,0.13360595703125,-1.6300162158286013,168,163,0.9702380952380952,1.0
15,4.0488586,4.003952,-6.487839434291758,-0.174560546875,0.305145263671875,-1.0851179307709666,177,176,0.9943502824858758,1.0
16,4.34964,4.454422,-7.4156597982128005,0.30078125,0.450469970703125,-0.9278203639210425,179,177,0.9888268156424581,1.0
17,4.4673157,5.261032,-7.685180901557483,0.11767578125,0.806610107421875,-0.26952110334468204,184,182,0.9891304347826086,1.0
18,5.0400085,5.3885193,-8.336679038858426,0.57269287109375,0.1274871826171875,-0.6514981373009429,199,198,0.9949748743718593,1.0
19,5.6501465,5.923935,-8.830552171463623,0.610137939453125,0.5354156494140625,-0.49387313260519683,197,196,0.9949238578680203,1.0
20,5.8844604,6.239914,-9.303490629363951,0.23431396484375,0.31597900390625,-0.4729384579003291,196,189,0.9642857142857143,1.0
21,5.783783,7.0549164,-9.50089881435335,-0.100677490234375,0.81500244140625,-0.19740818498939833,201,196,0.9751243781094527,1.0
22,5.5689087,7.7156525,-9.686867207555295,-0.214874267578125,0.660736083984375,-0.18596839320194464,206,205,0.9951456310679612,1.0
23,5.804901,8.13562,-10.005309224921444,0.235992431640625,0.4199676513671875,-0.3184420173661478,214,213,0.9953271028037384,1.0
24,5.701233,8.345123,-10.153271549368878,-0.103668212890625,0.209503173828125,-0.14796232444743407,197,194,0.9847715736040609,1.0
25,5.7402954,8.848404,-10.33388894090004,0.0390625,0.5032806396484375,-0.18061739153116327,209,208,0.9952153110047847,1.0
26,5.5132446,9.502914,-10.377870992439112,-0.22705078125,0.654510498046875,-0.04398205153907091,204,203,0.9950980392156863,1.0
27,5.3098145,10.184387,-10.625615014309798,-0.20343017578125,0.6814727783203125,-0.24774402187068553,212,211,0.9952830188679245,1.0
28,5.3413696,10.430664,-10.771894178362354,0.03155517578125,0.24627685546875,-0.14627916405255664,207,207,1.0,1.0
29,5.3526917,10.702087,-11.084559526053784,0.011322021484375,0.27142333984375,-0.3126653476914294,213,212,0.9953051643192489,1.0
30,5.47583,10.998642,-11.483776109687508,0.123138427734375,0.2965545654296875,-0.3992165836337238,210,209,0.9952380952380953,1.0
31,5.8621216,11.096252,-12.012935445935277,0.38629150390625,0.0976104736328125,-0.5291593362477686,202,201,0.995049504950495,1.0
32,5.5967712,11.479401,-12.249750619725793,-0.265350341796875,0.383148193359375,-0.23681517379051542,203,202,0.9950738916256158,1.0
33,5.687134,11.712936,-12.463232300631802,0.090362548828125,0.2335357666015625,-0.21348168090600853,211,210,0.995260663507109,1.0
34,5.4416504,12.132843,-12.539652194279507,-0.2454833984375,0.4199066162109375,-0.0764198936477053,204,203,0.9950980392156863,1.0
35,5.227051,12.415222,-12.674471511914673,-0.214599609375,0.282379150390625,-0.1348193176351663,205,204,0.9951219512195122,1.0
