frame_idx,est_lat,est_lon
0,43.5227115,-5.6244443
1,43.5226836,-5.6244056
2,43.5226555,-5.6243831
3,43.5226301,-5.6243534
4,43.5226041,-5.6243290
5,43.5225837,-5.6243223
6,43.5225659,-5.6243065
7,43.5225404,-5.6242974
8,43.5225199,-5.6242824
9,43.5224918,-5.6242676
10,43.5224571,-5.6242547
11,43.5224414,-5.6242298
12,43.5224289,-5.6242050
13,43.5224253,-5.6242230
14,43.5224152,-5.6242153
15,43.5223957,-5.6242282
16,43.5223918,-5.6242236
17,43.5223806,-5.6242194
18,43.5223772,-5.6242276
19,43.5223723,-5.6242465
20,43.5223566,-5.6242732
21,43.5223344,-5.6242917
22,43.5223218,-5.6243287
23,43.5223111,-5.6243594
24,43.5222981,-5.6243848
25,43.5222954,-5.6244040
26,43.5222845,-5.6244292
27,43.5222755,-5.6244313
28,43.5222675,-5.6244130
29,43.5222540,-5.6244102
30,43.5222474,-5.6244179
31,43.5222462,-5.6244133
32,43.5222318,-5.6244788
33,43.5222296,-5.6245549
34,43.5222201,-5.6246314
35,43.5222111,-5.6246989
36,43.5222044,-5.6247732
37,43.5222080,-5.6248387
38,43.5222027,-5.6248994
39,43.5222029,-5.6249609
40,43.5222035,-5.6250302
41,43.5222114,-5.6251052
42,43.5222103,-5.6251768
43,43.5222139,-5.6252525
44,43.5222175,-5.6253128
45,43.5222200,-5.6253815
46,43.5222282,-5.6254448
47,43.5222384,-5.6254877
48,43.5222505,-5.6255416
49,43.5222605,-5.6255983
50,43.5222739,-5.6256483
51,43.5222919,-5.6256898
52,43.5223037,-5.6257408
53,43.5221759,-5.6255427
54,43.5220520,-5.6253572
55,43.5219324,-5.6251518
56,43.5218183,-5.6249484
57,43.5217003,-5.6247426
58,43.5215866,-5.6245297
59,43.5216285,-5.6245647
60,43.5216565,-5.6245880
61,43.5216853,-5.6246175
62,43.5217064,-5.6246449
63,43.5217292,-5.6246757
64,43.5217457,-5.6247056
65,43.5217670,-5.6247341
66,43.5217902,-5.6247716
67,43.5218176,-5.6248069
68,43.5218493,-5.6248178
69,43.5218857,-5.6248568
70,43.5219151,-5.6248934
71,43.5219378,-5.6249372
72,43.5219641,-5.6249644
73,43.5219944,-5.6250053
74,43.5220276,-5.6250427
