original_frame_idx,extracted_15hz_idx,time_sec,success,reason,frame_keypoints,satellite_keypoints,good_matches,inliers,inlier_ratio,sat_px,sat_py,estimated_lat,estimated_lon,runtime_sec,frame,latitude,longitude,error_m
0,0,0.0,True,success,20986,2935,1773,9,0.0050761421319796,312.8894348144531,591.8530883789062,43.52196345061943,-5.6247007149579815,0.3127670288085937,1,43.521958,-5.624292,32.95969054179261
30,15,1.001,True,success,19663,2935,1805,14,0.0077562326869806,690.8699340820312,1019.1685180664062,43.52152020374834,-5.624160009516601,0.4062421321868896,31,43.521958,-5.624291,49.81325624936779
60,30,2.002,True,success,19021,2935,1756,16,0.0091116173120728,687.764404296875,1005.790771484375,43.521534080301834,-5.624164452012593,0.3491520881652832,61,43.521957,-5.624292,48.13788306630754
90,45,3.003,True,success,19219,2935,1787,15,0.0083939563514269,675.5861206054688,1016.4630126953124,43.521523010132306,-5.624181873187155,0.3144218921661377,91,43.521957,-5.624292,49.06757962822355
180,90,6.006,True,success,8264,2935,637,9,0.0141287284144427,312.53656005859375,591.8126220703125,43.521963492594274,-5.624701219749369,0.1741538047790527,181,43.521959,-5.624292,32.998599428300466
240,120,8.008000000000001,True,success,7001,2935,566,8,0.0141342756183745,1091.049560546875,345.86883544921875,43.522218604334434,-5.623587547969038,0.1519701480865478,241,43.521958,-5.624291,63.69203992458747
270,135,9.009,True,success,5821,2935,472,11,0.0233050847457627,37.55168914794922,295.1732482910156,43.52227118954773,-5.6250945887625505,0.1388218402862548,271,43.521958,-5.624291,73.55814063155744
300,150,10.01,True,success,4841,2935,434,11,0.0253456221198156,981.1304931640624,2891.80810546875,43.51957770883374,-5.623744788456207,0.1281960010528564,301,43.521958,-5.62429,268.3022020655999
330,165,11.011,True,success,4702,2935,455,13,0.0285714285714285,142.7124786376953,67.25238037109375,43.52250760536652,-5.6249441550465065,0.1321268081665039,331,43.521958,-5.624291,80.67343738282092
390,195,13.013,True,success,5333,2935,546,22,0.0402930402930402,146.91065979003906,70.26237487792969,43.52250448319108,-5.6249381495001955,0.1359808444976806,391,43.521959,-5.624291,80.01014550339742
420,210,14.014,True,success,5938,2935,579,22,0.0379965457685664,537.1525268554688,1135.1248779296875,43.521399923669144,-5.6243799040314855,0.1428470611572265,421,43.521962,-5.62428,63.01698305505999
480,240,16.016000000000002,True,success,5899,2935,546,31,0.0567765567765567,539.6791381835938,1135.955078125,43.521399062512,-5.624376289684989,0.1391541957855224,481,43.522,-5.624166,68.93881071824899
510,255,17.017,True,success,6390,2935,635,20,0.0314960629921259,144.02137756347656,73.07073974609375,43.52250157015973,-5.624942282651574,0.1431901454925537,511,43.522021,-5.624096,86.66846087384098
540,270,18.018,True,success,6310,2935,649,27,0.0416024653312788,539.2432861328125,1130.6219482421875,43.521404594506144,-5.624376913176377,0.1423139572143554,541,43.522041,-5.624026,76.21174735212283
630,315,21.021,True,success,6103,2935,578,19,0.0328719723183391,539.1849975585938,1130.5755615234375,43.52140464262256,-5.624376996558823,0.1410932540893554,631,43.522079,-5.623902,84.1994022333235
660,330,22.022,True,success,6146,2935,601,17,0.0282861896838602,143.5801544189453,67.37979125976562,43.522507473207106,-5.624942913826345,0.1422059535980224,661,43.522081,-5.623898,96.67879012862196
690,345,23.023,True,success,6040,2935,583,21,0.0360205831903945,536.6098022460938,1128.708740234375,43.521406579054634,-5.624380680405267,0.1392366886138916,691,43.522081,-5.623897,84.52644764146324
720,360,24.024,True,success,6078,2935,575,28,0.048695652173913,539.2620849609375,1130.534912109375,43.521404684787726,-5.624376886284409,0.1414670944213867,721,43.522087,-5.623876,85.94926915374434
750,375,25.025,True,success,6063,2935,620,21,0.0338709677419354,143.4305877685547,67.77136993408203,43.52250706703448,-5.624943127783155,0.1419129371643066,751,43.522098,-5.623837,100.11475034514041
780,390,26.026,True,success,5852,2935,577,14,0.024263431542461,143.41026306152344,68.39654541015625,43.522506418559075,-5.624943156857881,0.1393280029296875,781,43.522108,-5.623802,102.11953878942978
810,405,27.027,True,success,5747,2935,612,16,0.0261437908496732,-2.510650396347046,144.4071502685547,43.52242757502695,-5.625151898398968,0.1369431018829345,811,43.522119,-5.623767,116.81472723263961
840,420,28.028,True,success,5960,2935,639,17,0.0266040688575899,143.59840393066406,68.29153442382812,43.52250652748376,-5.624942887720209,0.139862060546875,841,43.522129,-5.623732,106.2740792291485
960,480,32.032000000000004,True,success,5984,2935,676,16,0.0236686390532544,143.67079162597656,66.9913101196289,43.52250787616672,-5.6249427841687805,0.1406011581420898,961,43.522169,-5.623595,115.01692666599094
990,495,33.033,True,success,5689,2935,674,17,0.0252225519287833,143.8311309814453,67.7679672241211,43.52250707056403,-5.624942554801493,0.1365578174591064,991,43.522178,-5.62356,117.32466170065094
1020,510,34.034,True,success,5142,2935,630,19,0.0301587301587301,325.2398986816406,347.2543029785156,43.522217167224376,-5.624683047477703,0.1306920051574707,1021,43.522188,-5.623525,93.42769026559874
1050,525,35.035000000000004,True,success,4837,2935,574,13,0.0226480836236933,28.188201904296875,302.64697265625,43.52226343725083,-5.625107983338495,0.1296451091766357,1051,43.522198,-5.623491,130.57741960533798
1080,540,36.036,True,success,4639,2935,578,23,0.0397923875432525,146.94898986816406,77.1297607421875,43.52249735986066,-5.624938094668579,0.135282278060913,1081,43.522208,-5.623456,123.75432523984148
1140,570,38.038,True,success,4485,2935,525,36,0.0685714285714285,23.459383010864254,294.9206848144531,43.52227145152513,-5.625114747968183,0.1676743030548095,1141,43.522222,-5.623407,137.80243923542034
1170,585,39.039,True,success,4107,2935,515,18,0.0349514563106796,322.4048156738281,341.173095703125,43.522223475104994,-5.624687103096477,0.1230368614196777,1171,43.522224,-5.6234,103.77689331268165
1200,600,40.04,True,success,4179,2935,516,26,0.0503875968992248,23.772863388061523,295.1036376953125,43.522271261752955,-5.625114299530907,0.1216640472412109,1201,43.522223,-5.623398,138.48619950301918
1230,615,41.041,True,success,4145,2935,489,27,0.0552147239263803,347.74365234375,293.1079406738281,43.522273331836594,-5.624650855599867,0.1215631961822509,1231,43.522212,-5.623386,102.2108394243169
1260,630,42.042,True,success,4445,2935,566,59,0.1042402826855123,23.924673080444336,291.7254638671875,43.52227476584313,-5.625114082365428,0.127579927444458,1261,43.52219,-5.623358,141.9032153501668
1290,645,43.043,True,success,4116,2935,509,23,0.0451866404715127,23.56504821777344,294.9615783691406,43.522271409107354,-5.625114596812892,0.1215729713439941,1291,43.52217,-5.623332,144.1693365416884
1320,660,44.044,True,success,4366,2935,515,29,0.0563106796116504,23.507667541503903,294.88446044921875,43.52227148909973,-5.625114678896608,0.1240079402923584,1321,43.52215,-5.623307,146.37473349673883
1350,675,45.045,True,success,4505,2935,508,37,0.0728346456692913,23.65091896057129,294.80340576171875,43.522271573175594,-5.6251144739738095,0.1232452392578125,1351,43.52213,-5.623282,148.5855107571671
1380,690,46.046,True,success,4668,2935,529,9,0.0170132325141776,17.20367431640625,292.82720947265625,43.52227362303164,-5.625123696831253,0.1297760009765625,1381,43.52211,-5.623256,151.68432873689423
1410,705,47.047,True,success,4934,2935,556,17,0.0305755395683453,36.40114212036133,325.9808654785156,43.5222392336136,-5.625096234633276,0.1287369728088379,1411,43.52209,-5.623231,151.30347855296634
1440,720,48.048,True,success,4980,2935,518,41,0.0791505791505791,22.741342544555664,294.85430908203125,43.52227152037493,-5.62511577513331,0.1285851001739502,1441,43.52207,-5.623206,155.6038820289396
1470,735,49.049,True,success,5102,2935,524,17,0.032442748091603,27.97233772277832,298.906982421875,43.52226731664405,-5.6251082921346836,0.1315250396728515,1471,43.52205,-5.623182,157.18231994152842
1500,750,50.05,True,success,5855,2935,626,38,0.060702875399361,23.5356388092041,294.81768798828125,43.52227155836102,-5.625114638883389,0.1489930152893066,1501,43.522037,-5.623165,159.34518670091626
1530,765,51.051,True,success,4995,2935,532,17,0.0319548872180451,32.154571533203125,322.8428039550781,43.52224248864336,-5.625102309401228,0.1302628517150879,1531,43.522028,-5.623154,158.88922054563065
1590,795,53.053,True,success,5591,2935,543,17,0.0313075506445672,346.6740417480469,295.28460693359375,43.52227107403835,-5.624652385690098,0.1427419185638427,1591,43.522022,-5.62315,124.26068427053802
1650,825,55.055,True,success,6245,2935,601,9,0.0149750415973377,345.1251220703125,292.9456481933594,43.5222735001783,-5.62465460143747,0.1426131725311279,1651,43.521972,-5.623129,127.49358788747475
1680,840,56.056,True,success,6312,2935,577,8,0.0138648180242634,972.70947265625,407.9266662597656,43.5221542332991,-5.623756834822672,0.1428949832916259,1681,43.521946,-5.623118,56.47330076136364
1830,915,61.061,True,success,6640,2935,647,8,0.0123647604327666,969.48583984375,405.2393493652344,43.5221570207871,-5.6237614462664,0.1464838981628418,1831,43.521815,-5.623061,68.08738355101133
1860,930,62.062,True,success,6684,2935,639,8,0.0125195618153364,175.6497039794922,47.41912078857422,43.52252817779748,-5.624897037967713,0.147953987121582,1861,43.521793,-5.623052,169.74386105471035
1980,990,66.066,True,success,6014,2935,569,9,0.015817223198594,168.41885375976562,51.48984909057617,43.52252395535663,-5.624907381781924,0.13885498046875,1981,43.521757,-5.623052,172.19763472922673
2130,1065,71.071,True,success,6873,2935,662,9,0.0135951661631419,36.08977127075195,70.48005676269531,43.52250425739629,-5.625096680052877,0.1498780250549316,2131,43.521627,-5.623113,187.3405534107293
2160,1080,72.072,True,success,7123,2935,662,9,0.0135951661631419,25.712465286254883,73.64051055908203,43.52250097915381,-5.625111524908135,0.1518862247467041,2161,43.521601,-5.623125,188.8629563362442
2280,1140,76.07600000000001,True,success,6969,2935,667,9,0.0134932533733133,253.48524475097656,244.42771911621097,43.52232382651867,-5.624785693333507,0.1496341228485107,2281,43.521559,-5.623145,157.265495756138
2370,1185,79.07900000000001,True,success,6466,2935,577,8,0.0138648180242634,870.8963623046875,377.0331726074219,43.522186278355754,-5.623902479645295,0.174793004989624,2371,43.521499,-5.623201,95.07508392648361
2400,1200,80.08,True,success,6350,2935,610,8,0.0131147540983606,175.3835906982422,53.51016616821289,43.52252185974394,-5.624897418645816,0.1456928253173828,2401,43.521476,-5.623222,178.24912118786293
2490,1245,83.083,True,success,5963,2935,563,8,0.0142095914742451,546.101318359375,1103.1895751953125,43.52143304978245,-5.624367102682555,0.1401741504669189,2491,43.52141,-5.623286,87.20625411523243
2730,1365,91.091,True,success,5845,2935,599,8,0.013355592654424,538.3425903320312,1131.9686279296875,43.52140319761087,-5.624378201632027,0.1390948295593261,2731,43.521339,-5.623453,74.93921419733853
2760,1380,92.092,True,success,5689,2935,522,11,0.0210727969348659,823.3525390625,345.9112243652344,43.522218560365495,-5.62397049162999,0.1370937824249267,2761,43.521329,-5.623488,106.28980122688108
2790,1395,93.093,True,success,5531,2935,523,10,0.0191204588910133,542.253662109375,1123.8284912109375,43.52141164128008,-5.624372606798971,0.1348388195037841,2791,43.52132,-5.623523,69.25703920460073
2820,1410,94.094,True,success,5653,2935,521,14,0.0268714011516314,539.2725219726562,1130.5296630859375,43.52140469023247,-5.624376871354144,0.1370155811309814,2821,43.52131,-5.623558,66.85938540489121
2850,1425,95.095,True,success,5540,2935,544,15,0.0275735294117647,543.08251953125,1128.905517578125,43.52140637493978,-5.624371421108918,0.1355538368225097,2851,43.521301,-5.623592,63.927256496127086
2880,1440,96.096,True,success,5673,2935,569,11,0.0193321616871704,538.0814819335938,1128.10302734375,43.521407207353576,-5.624378575150615,0.136915922164917,2881,43.521294,-5.623616,62.761351652676275
2910,1455,97.097,True,success,5501,2935,551,11,0.0199637023593466,632.7034301757812,797.6002807617188,43.521750033037904,-5.6242432173678765,0.1360208988189697,2911,43.521291,-5.623629,71.11900219209316
2970,1485,99.099,True,success,5522,2935,534,10,0.0187265917602996,550.492919921875,1088.582275390625,43.5214482017564,-5.624360820446128,0.1448161602020263,2971,43.521289,-5.623642,60.60125943741964
3060,1530,102.102,True,success,5279,2935,481,14,0.0291060291060291,398.7876892089844,1142.8238525390625,43.52139193761075,-5.624577836519421,0.1337013244628906,3061,43.521283,-5.623756,67.36229553668693
3090,1545,103.103,True,success,5218,2935,461,12,0.0260303687635574,538.5931396484375,1130.271484375,43.52140495803826,-5.624377843218355,0.1332190036773681,3091,43.52128,-5.623793,49.16005626180349
3120,1560,104.104,True,success,4986,2935,440,21,0.0477272727272727,539.2628784179688,1130.5330810546875,43.52140468668704,-5.62437688514936,0.1296479701995849,3121,43.521278,-5.62383,46.290536891770934
3150,1575,105.105,True,success,5449,2935,505,20,0.0396039603960396,538.6314697265625,1132.514892578125,43.52140263097687,-5.624377788386738,0.134537935256958,3151,43.521276,-5.623867,43.525123519129664
3180,1590,106.106,True,success,4992,2935,483,17,0.0351966873706004,539.1834106445312,1130.717529296875,43.52140449536103,-5.624376998828922,0.129889965057373,3181,43.521275,-5.623891,41.747641678157635
3210,1605,107.107,True,success,5305,2935,485,23,0.0474226804123711,539.0166625976562,1130.676025390625,43.52140453841254,-5.624377237363916,0.1326231956481933,3211,43.521274,-5.623906,40.67378983496616
